aqi_date_loc,time_updated,o3,pm10,pm25
"1,Baltimore,MD",2022-01-13 06:00:00,9,20,56
"2,Baltimore,MD",2022-01-13 06:00:00,14,3,8
"3,Baltimore,MD",2022-01-13 06:00:00,11,6,16
"4,Baltimore,MD",2022-01-13 06:00:00,13,3,7
"1,Portland,OR",2022-11-07 17:00:00,8,5,12
"2,Portland,OR",2022-11-07 17:00:00,2,23,64
"3,Portland,OR",2022-11-07 17:00:00,1,27,79
"4,Portland,OR",2022-11-07 17:00:00,6,13,44
"5,Portland,OR",2022-11-07 17:00:00,9,14,45
"1,San Antonio,TX",2022-11-07 20:00:00,10,8,21
"2,San Antonio,TX",2022-11-07 20:00:00,12,11,23
"3,San Antonio,TX",2022-11-07 20:00:00,13,11,30
"4,San Antonio,TX",2022-11-07 20:00:00,12,8,24
"5,San Antonio,TX",2022-11-07 20:00:00,15,1,4
"1,St. Louis,MO",2022-11-07 20:00:00,10,8,22
"2,St. Louis,MO",2022-11-07 20:00:00,9,14,46
"3,St. Louis,MO",2022-11-07 20:00:00,15,12,36
"4,St. Louis,MO",2022-11-07 20:00:00,12,7,19
"5,St. Louis,MO",2022-11-07 20:00:00,13,2,5
"1,Sacramento,CA",2022-11-07 17:00:00,12,3,8
"2,Sacramento,CA",2022-11-07 17:00:00,3,16,44
"3,Sacramento,CA",2022-11-07 17:00:00,2,18,53
"4,Sacramento,CA",2022-11-07 17:00:00,3,16,46
"5,Sacramento,CA",2022-11-07 17:00:00,5,18,42
"1,Orlando,FL",2022-11-07 20:00:00,17,13,30
"2,Orlando,FL",2022-11-07 20:00:00,18,16,32
"3,Orlando,FL",2022-11-07 20:00:00,13,5,14
"4,Orlando,FL",2022-11-07 20:00:00,13,4,14
"5,Orlando,FL",2022-11-07 20:00:00,12,9,29
"1,San Jose,CA",2022-11-07 18:00:00,11,4,10
"2,San Jose,CA",2022-11-07 18:00:00,3,21,55
"3,San Jose,CA",2022-11-07 18:00:00,2,32,81
"4,San Jose,CA",2022-11-07 18:00:00,3,30,76
"5,San Jose,CA",2022-11-07 18:00:00,4,36,90
"1,Cleveland,OH",2022-11-07 21:00:00,10,4,9
"2,Cleveland,OH",2022-11-07 21:00:00,9,6,18
"3,Cleveland,OH",2022-11-07 21:00:00,12,10,29
"4,Cleveland,OH",2022-11-07 21:00:00,8,8,23
"5,Cleveland,OH",2022-11-07 21:00:00,10,4,11
"1,Pittsburgh,PA",2022-11-07 19:00:00,8,5,15
"2,Pittsburgh,PA",2022-11-07 19:00:00,11,5,13
"3,Pittsburgh,PA",2022-11-07 19:00:00,4,15,44
"4,Pittsburgh,PA",2022-11-07 19:00:00,5,7,18
"5,Pittsburgh,PA",2022-11-07 19:00:00,9,5,17
"1,Austin,TX",2022-11-07 19:00:00,8,10,30
"2,Austin,TX",2022-11-07 19:00:00,8,12,28
"3,Austin,TX",2022-11-07 19:00:00,10,10,30
"4,Austin,TX",2022-11-07 19:00:00,13,9,18
"5,Austin,TX",2022-11-07 19:00:00,16,1,4
"1,Cincinnati,OH",2022-11-07 21:00:00,12,6,17
"2,Cincinnati,OH",2022-11-07 21:00:00,8,9,23
"3,Cincinnati,OH",2022-11-07 21:00:00,9,11,34
"4,Cincinnati,OH",2022-11-07 21:00:00,4,10,30
"5,Cincinnati,OH",2022-11-07 21:00:00,12,4,9
"1,Kansas City,MO",2022-11-07 20:00:00,9,8,28
"2,Kansas City,MO",2022-11-07 20:00:00,10,10,39
"3,Kansas City,MO",2022-11-07 20:00:00,12,7,27
"4,Kansas City,MO",2022-11-07 20:00:00,14,1,3
"5,Kansas City,MO",2022-11-07 20:00:00,16,2,6
"1,Manhattan,NY",2022-11-07 21:00:00,8,7,17
"2,Manhattan,NY",2022-11-07 21:00:00,6,37,79
"3,Manhattan,NY",2022-11-07 21:00:00,2,49,105
"4,Manhattan,NY",2022-11-07 21:00:00,5,40,82
"5,Manhattan,NY",2022-11-07 21:00:00,10,6,16
"1,Indianapolis,IN",2022-11-07 21:00:00,11,6,21
"2,Indianapolis,IN",2022-11-07 21:00:00,8,11,36
"3,Indianapolis,IN",2022-11-07 21:00:00,11,14,50
"4,Indianapolis,IN",2022-11-07 21:00:00,10,9,30
"5,Indianapolis,IN",2022-11-07 21:00:00,12,2,4
"1,Charlotte,NC",2022-11-07 21:00:00,12,7,22
"2,Charlotte,NC",2022-11-07 21:00:00,12,7,15
"3,Charlotte,NC",2022-11-07 21:00:00,13,10,16
"4,Charlotte,NC",2022-11-07 21:00:00,10,3,7
"5,Charlotte,NC",2022-11-07 21:00:00,8,4,11
na,na,na,na,na
"1,Bronx,NY",2022-11-07 20:00:00,9,6,11
"2,Bronx,NY",2022-11-07 20:00:00,6,38,77
"3,Bronx,NY",2022-11-07 20:00:00,2,50,104
"4,Bronx,NY",2022-11-07 20:00:00,4,41,84
"5,Bronx,NY",2022-11-07 20:00:00,9,6,15
"1,Milwaukee,WI",2022-11-07 20:00:00,10,3,9
"2,Milwaukee,WI",2022-11-07 20:00:00,10,10,37
"3,Milwaukee,WI",2022-11-07 20:00:00,13,15,54
"4,Milwaukee,WI",2022-11-07 20:00:00,13,7,21
"5,Milwaukee,WI",2022-11-07 20:00:00,12,1,3
"1,Providence,RI",2022-11-07 21:00:00,13,2,5
"2,Providence,RI",2022-11-07 21:00:00,8,9,25
"3,Providence,RI",2022-11-07 21:00:00,13,10,20
"4,Providence,RI",2022-11-07 21:00:00,11,14,28
