lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
"40.733501,-111.871696",40.733501,-111.871696,"Salt Lake City,UT",11/7/2022 19:00,19,1.6,32,13,19.2,na,15
"36.1767,-86.7386",36.1767,-86.7386,"Nashville,TN",11/6/2022 22:00,-,na,74.4,na,na,na,36
"37.55652,-77.40027",37.55652,-77.40027,"Richmond,VA",11/7/2022 20:00,89,0.1,42.6,6.4,10.6,42,89
"35.856098,-78.574203",35.856098,-78.574203,"Raleigh,NC",11/7/2022 21:00,44,3.4,93,14,8,21,44
"29.993278,-90.101464",29.993278,-90.101464,"New Orleans,LA",11/7/2022 19:00,53,1.2,3,5.6,20,13,53
"38.288191,-85.741337",38.288191,-85.741337,"Louisville,KY",11/7/2022 21:00,22,na,37.5,na,na,na,22
"35.502968,-97.577674",35.502968,-97.577674,"Oklahoma City,OK",11/7/2022 20:00,55,10,76,20.4,na,29,55
"41.171398,-73.195297",41.171398,-73.195297,"Bridgeport,CT",11/7/2022 21:00,15,na,29,na,na,na,15
"42.8864468,-78.8783689",42.8864468,-78.8783689,"Buffalo,NY",11/7/2022 21:00,36,2.7,55,9.8,20,na,36
"32.7591432,-97.3423337",32.7591432,-97.3423337,"Fort Worth,TX",11/7/2022 19:00,26,na,92,na,na,na,26
"41.771444,-72.679923",41.771444,-72.679923,"Hartford,CT",11/7/2022 21:00,16,1,30,1.9,na,12,16
"32.251846,-110.965296",32.251846,-110.965296,"Tucson,AZ",11/7/2022 19:00,21,2.1,23,1.7,47.2,21,9
"41.2474,-95.9731",41.2474,-95.9731,"Omaha,NE",11/7/2022 20:00,24,1.2,44.8,na,21.6,24,21
"31.7656976,-106.4552204",31.7656976,-106.4552204,"El Paso,TX",11/7/2022 18:00,65,13.4,29.9,39.5,0.8,57,65
"21.30758,-157.85542",21.30758,-157.85542,"Honolulu,HI",11/7/2022 16:00,9,0.2,58,na,na,na,9
"26.2262097,-98.291069",26.2262097,-98.291069,"McAllen,TX",11/7/2022 20:00,19,na,83.5,na,19.2,na,25
"35.0186,-106.651901",35.0186,-106.651901,"Albuquerque,NM",11/7/2022 18:00,30,1.2,37,6.5,23.3,30,21
"52.486243,-1.890401",52.486243,-1.890401,"Birmingham,AL",10/1/2021 15:00,13,na,61.5,3.2,27.3,5,13
"27.290555555556,-82.507222222222",27.29055556,-82.50722222,"Sarasota,FL",11/7/2022 20:00,25,na,61.3,na,17,20,25
"39.758235,-84.197375",39.758235,-84.197375,"Dayton,OH",11/7/2022 21:00,27,na,31.8,na,na,na,27
"43.145021,-77.557608",43.145021,-77.557608,"Rochester,NY",11/7/2022 21:00,28,3.1,63.5,2.9,18.4,na,28
"36.78538,-119.77321",36.78538,-119.77321,"Fresno,CA",11/7/2022 18:00,20,3.4,81,8.2,18.4,11,20
"36.206699,-95.976402",36.206699,-95.976402,"Tulsa,OK",11/7/2022 19:00,84,3.4,77,14.9,10.4,84,49
"26.601944444444,-81.877777777778",26.60194444,-81.87777778,"Cape Coral,FL",9/28/2022 8:00,11,na,88,na,10.6,15,21
"37.936,-122.0262",37.936,-122.0262,"Concord,CA",11/7/2022 18:00,25,2.3,70.4,1.1,24.8,na,9
"38.848014,-104.828564",38.848014,-104.828564,"Colorado Springs,CO",11/7/2022 19:00,25,1,58,na,7,21,25
