lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
"40.7127837,-74.0059413",40.7127837,-74.0059413,"New York,NY",11/7/2022 21:00,18,4.8,21.5,16.6,98.1,na,18
"34.06653,-118.22676",34.06653,-118.22676,"Los Angeles,CA",11/7/2022 18:00,23,2.3,91,5.2,19.2,1,23
"41.9136,-87.7239",41.9136,-87.7239,"Chicago,IL",11/7/2022 20:00,26,na,64,na,na,na,26
"25.794722222222,-80.215555555556",25.79472222,-80.21555556,"Miami,FL",11/7/2022 20:00,34,1.9,88,na,13,19,34
"32.8200608,-96.8601165",32.8200608,-96.8601165,"Dallas,TX",11/7/2022 19:00,9,2.3,91.5,7.9,10.4,15,9
"39.934635,-75.126126",39.934635,-75.126126,"Philadelphia,PA",11/7/2022 21:00,30,1.2,35,12.1,27.2,na,30
"29.686389,-95.294722",29.686389,-95.294722,"Houston,TX",11/7/2022 20:00,19,na,81.5,7.7,19.2,na,na
"33.720192,-84.357056",33.720192,-84.357056,"Atlanta,GA",11/7/2022 20:00,35,na,85,na,25.6,na,35
"38.8577,-77.05922",38.8577,-77.05922,"Washington,DC",11/7/2022 21:00,21,0.1,22,1.9,15.9,11,21
"42.3584308,-71.0597732",42.3584308,-71.0597732,"Boston,MA",11/7/2022 21:00,30,3.4,30,6.5,30.4,na,17
"33.403055555556,-112.07527777778",33.40305556,-112.0752778,"Phoenix,AZ",11/7/2022 19:00,55,13.4,40,4.7,19.2,55,43
"47.597222,-122.319722",47.597222,-122.319722,"Seattle,WA",11/7/2022 20:00,30,na,94.8,21.8,na,na,30
"37.76595,-122.39902",37.76595,-122.39902,"San Francisco,CA",11/7/2022 18:00,26,2.3,78,4.5,25.6,na,9
"42.3149367,-83.0363633",42.3149367,-83.0363633,"Detroit,MI",11/7/2022 21:00,17,1.8,58.5,6.5,16.8,na,9
"32.7101770008584,-117.142665",32.710177,-117.142665,"San Diego,CA",11/7/2022 18:00,18,na,72,na,18.4,7,10
"44.9536,-93.2581",44.9536,-93.2581,"Minneapolis,MN",11/7/2022 20:00,22,na,66,na,na,na,22
"27.928333333333,-82.454444444444",27.92833333,-82.45444444,"Tampa,FL",11/7/2022 21:00,20,2.5,80,1,13.5,20,19
"39.751184,-104.987625",39.751184,-104.987625,"Denver,CO",11/7/2022 19:00,55,5.2,62,17.4,2.5,30,55
"40.7127837,-74.0059413",40.7127837,-74.0059413,"Brooklyn,NY",11/7/2022 21:00,18,4.8,21.5,16.6,98.1,na,18
"40.736251,-73.821655",40.736251,-73.821655,"Queens,NY",11/7/2022 20:00,18,1.7,17.3,8.2,29.6,na,18
"33.99952,-117.41595",33.99952,-117.41595,"Riverside,CA",11/7/2022 18:00,17,1.2,97.8,2.3,16.8,8,3
"39.2981,-76.604698",39.2981,-76.604698,"Baltimore,MD",1/13/2022 6:00,63,na,83,na,na,na,63
"36.19126,-115.12293",36.19126,-115.12293,"Las Vegas,NV",2/8/2020 19:00,7,0.1,na,6.6,7.4,24,21
"45.496640911,-122.60287735",45.49664091,-122.6028774,"Portland,OR",11/7/2022 17:00,24,1.2,94.5,3.6,23.8,na,9
"29.4072945,-98.431251",29.4072945,-98.431251,"San Antonio,TX",11/7/2022 20:00,8,na,64,na,8,na,na
"38.656449,-90.198548",38.656449,-90.198548,"St. Louis,MO",11/7/2022 20:00,39,2.3,48,9.2,17.6,18,39
"38.56844,-121.49311",38.56844,-121.49311,"Sacramento,CA",11/7/2022 17:00,7,na,71.1,6.5,0.1,7,5
"28.596388888889,-81.3625",28.59638889,-81.3625,"Orlando,FL",11/7/2022 20:00,30,1.9,88,1.3,11.8,17,30
"37.34849,-121.89494",37.34849,-121.89494,"San Jose,CA",11/7/2022 18:00,18,2.3,73,11.8,18.4,na,9
"41.492191,-81.678552",41.492191,-81.678552,"Cleveland,OH",11/7/2022 21:00,24,1.2,60,2.8,23.3,24,na
"40.4045579,-79.9102686",40.4045579,-79.9102686,"Pittsburgh,PA",11/7/2022 19:00,23,na,45,5.6,0.8,na,23
"30.3544356,-97.7602554",30.3544356,-97.7602554,"Austin,TX",11/7/2022 19:00,25,na,77.3,7.5,16.8,na,25
"39.12886,-84.50404",39.12886,-84.50404,"Cincinnati,OH",11/7/2022 21:00,30,1.2,26,18.7,16.8,23,30
"39.10465,-94.57055",39.10465,-94.57055,"Kansas City,MO",11/7/2022 20:00,28,na,32,4.9,na,20,28
"40.7127837,-74.0059413",40.7127837,-74.0059413,"Manhattan,NY",11/7/2022 21:00,18,4.8,21.5,16.6,98.1,na,18
"39.787933,-86.13088",39.787933,-86.13088,"Indianapolis,IN",11/7/2022 21:00,40,5.6,49.8,23.2,na,na,40
"40.002734,-82.994404",40.002734,-82.994404,"Columbus,OH",5/25/2020 10:00,-,na,56.3,3.8,na,na,na
"35.281791,-80.851473",35.281791,-80.851473,"Charlotte,NC",11/7/2022 21:00,34,na,77,na,na,na,34
"40.867985,-73.87808",40.867985,-73.87808,"Bronx,NY",11/7/2022 20:00,27,1.2,31,15.2,30.4,na,27
"43.01724,-87.93369",43.01724,-87.93369,"Milwaukee,WI",11/7/2022 20:00,40,2.3,70,7.5,21.3,12,40
"41.829495,-71.417457",41.829495,-71.417457,"Providence,RI",11/7/2022 21:00,17,2.3,28,5,na,na,17
"30.356388888889,-81.635277777778",30.35638889,-81.63527778,"Jacksonville,FL",11/7/2022 21:00,25,na,75.2,3.2,14.7,12,25
