aqi_key,lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
46,"38.288191,-85.741337",38.288191,-85.741337,"Louisville,KY",11/7/2022 21:00,22,na,37.5,na,na,na,22
47,"35.502968,-97.577674",35.502968,-97.577674,"Oklahoma City,OK",11/7/2022 20:00,55,10,76,20.4,na,29,55
48,"41.171398,-73.195297",41.171398,-73.195297,"Bridgeport,CT",11/7/2022 21:00,15,na,29,na,na,na,15
49,"42.8864468,-78.8783689",42.8864468,-78.8783689,"Buffalo,NY",11/7/2022 21:00,36,2.7,55,9.8,20,na,36
50,"32.7591432,-97.3423337",32.7591432,-97.3423337,"Fort Worth,TX",11/7/2022 19:00,26,na,92,na,na,na,26
51,"41.771444,-72.679923",41.771444,-72.679923,"Hartford,CT",11/7/2022 21:00,16,1,30,1.9,na,12,16
52,"32.251846,-110.965296",32.251846,-110.965296,"Tucson,AZ",11/7/2022 19:00,21,2.1,23,1.7,47.2,21,9
53,"41.2474,-95.9731",41.2474,-95.9731,"Omaha,NE",11/7/2022 20:00,24,1.2,44.8,na,21.6,24,21
54,"31.7656976,-106.4552204",31.7656976,-106.4552204,"El Paso,TX",11/7/2022 18:00,65,13.4,29.9,39.5,0.8,57,65
55,"21.30758,-157.85542",21.30758,-157.85542,"Honolulu,HI",11/7/2022 16:00,9,0.2,58,na,na,na,9
56,"26.2262097,-98.291069",26.2262097,-98.291069,"McAllen,TX",11/7/2022 20:00,19,na,83.5,na,19.2,na,25
57,"35.0186,-106.651901",35.0186,-106.651901,"Albuquerque,NM",11/7/2022 18:00,30,1.2,37,6.5,23.3,30,21
58,"52.486243,-1.890401",52.486243,-1.890401,"Birmingham,AL",10/1/2021 15:00,13,na,61.5,3.2,27.3,5,13
59,"27.290555555556,-82.507222222222",27.29055556,-82.50722222,"Sarasota,FL",11/7/2022 20:00,25,na,61.3,na,17,20,25
60,"39.758235,-84.197375",39.758235,-84.197375,"Dayton,OH",11/7/2022 21:00,27,na,31.8,na,na,na,27
61,"43.145021,-77.557608",43.145021,-77.557608,"Rochester,NY",11/7/2022 21:00,28,3.1,63.5,2.9,18.4,na,28
62,"36.78538,-119.77321",36.78538,-119.77321,"Fresno,CA",11/7/2022 18:00,20,3.4,81,8.2,18.4,11,20
63,"36.206699,-95.976402",36.206699,-95.976402,"Tulsa,OK",11/7/2022 19:00,84,3.4,77,14.9,10.4,84,49
64,"26.601944444444,-81.877777777778",26.60194444,-81.87777778,"Cape Coral,FL",9/28/2022 8:00,11,na,88,na,10.6,15,21
65,"37.936,-122.0262",37.936,-122.0262,"Concord,CA",11/7/2022 18:00,25,2.3,70.4,1.1,24.8,na,9
66,"38.848014,-104.828564",38.848014,-104.828564,"Colorado Springs,CO",11/7/2022 19:00,25,1,58,na,7,21,25
67,"32.836602,-79.956983",32.836602,-79.956983,"Charleston,SC",7/6/2022 13:00,28,na,68.5,4.7,na,na,28
68,"37.256069,-93.299692",37.256069,-93.299692,"Springfield,MA",11/7/2022 20:00,38,na,58,na,31.2,18,38
69,"42.9633599,-85.6680863",42.9633599,-85.6680863,"Grand Rapids,MI",11/7/2022 21:00,48,4.2,69,11.2,9.6,17,48
70,"42.642253,-73.754576",42.642253,-73.754576,"Albany,NY",11/7/2022 21:00,18,2.3,56,na,2,na,18
71,"35.9803,-83.9306",35.9803,-83.9306,"Knoxville,TN",11/7/2022 21:00,42,na,75,na,na,na,42
72,"35.35662,-119.06261",35.35662,-119.06261,"Bakersfield,CA",11/7/2022 18:00,18,na,76,8.8,18.4,8,14
73,"41.206402,-111.975197",41.206402,-111.975197,"Ogden,UT",11/7/2022 19:00,19,1.6,32,13,19.2,na,15
74,"30.46198,-91.17922",30.46198,-91.17922,"Baton Rouge,LA",11/7/2022 20:00,52,4.9,79,18.8,6.4,13,52
75,"41.063526,-81.468956",41.063526,-81.468956,"Akron,OH",11/7/2022 21:00,43,na,49,na,na,na,43
76,"41.3011,-72.9028",41.3011,-72.9028,"New Haven,CT",11/7/2022 21:00,17,1,35.5,1.9,17.1,11,15
77,"35.65188,-87.0096",35.65188,-87.0096,"Columbia,SC",11/7/2022 20:00,21,na,96,na,na,na,21
78,"33.410277777778,-111.865",33.41027778,-111.865,"Mesa,AZ",11/7/2022 19:00,47,6.7,22,na,6.4,30,47
79,"28.053611111111,-80.628611111111",28.05361111,-80.62861111,"Palm Bay,FL",11/7/2022 20:00,35,na,61,na,16.7,24,35
80,"40.253502,-111.6632",40.253502,-111.6632,"Provo,UT",11/7/2022 19:00,19,1.6,32,13,19.2,na,15
81,"42.263877,-71.794186",42.263877,-71.794186,"Worcester,MA",11/7/2022 21:00,30,2.3,35,1.9,29.6,na,5
82,"35.638599,-77.358002",35.638599,-77.358002,"Greenville,SC",11/7/2022 20:00,25,na,100,na,na,na,25
83,"37.7011,-97.3139",37.7011,-97.3139,"Wichita,KS",11/7/2022 20:00,26,na,52,2.7,25.6,21,23
84,"41.644067,-83.54625",41.644067,-83.54625,"Toledo,OH",11/7/2022 21:00,48,na,43,na,na,na,48
85,"40.63306,-74.137156",40.63306,-74.137156,"Staten Island,NY",11/7/2022 21:00,14,na,26,na,12.8,na,14
86,"41.603056,-93.643056",41.603056,-93.643056,"Des Moines,IA",11/7/2022 20:00,16,na,50,7.1,29.6,na,16
87,"33.7924,-118.17525",33.7924,-118.17525,"Long Beach,CA",5/5/2022 14:00,56,na,47,na,na,na,56
88,"33.2190564,-97.1962872",33.2190564,-97.1962872,"Denton,TX",11/7/2022 20:00,14,na,95.3,4.9,13.6,na,9
